simulation,time,x,y,z,collisionApproach,modelName,droneName
1,86.123,0.000,1.022,0.000,6,,drone 0
1,86.227,0.000,1.130,0.000,6,,drone 0
1,86.330,0.000,1.318,0.000,6,,drone 0
1,86.433,0.000,1.578,0.000,6,,drone 0
1,86.536,0.000,1.902,0.000,6,,drone 0
1,86.639,0.000,2.283,0.000,6,,drone 0
1,86.743,0.000,2.806,0.000,6,,drone 0
1,86.846,0.000,3.290,0.000,6,,drone 0
1,86.948,0.000,3.811,0.000,6,,drone 0
1,87.051,0.000,4.364,0.000,6,,drone 0
1,87.156,0.000,4.945,0.000,6,,drone 0
1,87.258,0.000,5.548,0.000,6,,drone 0
1,87.363,0.000,6.297,0.000,6,,drone 0
1,87.465,0.000,6.936,0.000,6,,drone 0
1,87.568,0.000,7.587,0.000,6,,drone 0
1,87.671,0.000,8.245,0.000,6,,drone 0
1,87.774,0.000,8.909,0.000,6,,drone 0
1,87.878,0.000,9.575,0.000,6,,drone 0
1,87.980,0.000,10.374,0.000,6,,drone 0
1,88.084,0.000,11.037,0.000,6,,drone 0
1,88.186,0.000,11.696,0.000,6,,drone 0
1,88.289,0.000,12.349,0.000,6,,drone 0
1,88.392,0.000,12.995,0.000,6,,drone 0
1,88.495,0.000,13.632,0.000,6,,drone 0
1,88.598,0.000,14.260,0.000,6,,drone 0
1,88.700,0.000,14.998,0.000,6,,drone 0
1,88.805,0.000,15.600,0.000,6,,drone 0
1,88.908,0.000,16.190,0.000,6,,drone 0
1,89.011,0.000,16.766,0.000,6,,drone 0
1,89.113,0.000,17.328,0.000,6,,drone 0
1,89.215,0.000,17.876,0.000,6,,drone 0
1,89.318,0.000,18.410,0.000,6,,drone 0
1,89.422,0.000,19.030,0.000,6,,drone 0
1,89.525,0.000,19.531,0.000,6,,drone 0
1,89.628,0.000,20.016,0.000,6,,drone 0
1,89.731,0.000,20.486,0.000,6,,drone 0
1,89.835,0.000,20.940,0.000,6,,drone 0
1,89.936,0.000,21.380,0.000,6,,drone 0
1,90.039,0.000,21.804,0.000,6,,drone 0
1,90.142,0.000,22.293,0.000,6,,drone 0
1,90.246,0.000,22.685,0.000,6,,drone 0
1,90.348,0.000,23.061,0.000,6,,drone 0
1,90.452,0.000,23.424,0.000,6,,drone 0
1,90.554,0.000,23.772,0.000,6,,drone 0
1,90.657,0.000,24.106,0.000,6,,drone 0
1,90.759,0.000,24.427,0.000,6,,drone 0
1,90.863,0.000,24.794,0.000,6,,drone 0
1,90.965,0.000,25.085,0.000,6,,drone 0
1,91.068,0.000,25.365,0.000,6,,drone 0
1,91.172,0.000,25.631,0.000,6,,drone 0
1,91.275,0.000,25.886,0.000,6,,drone 0
1,91.378,0.000,26.130,0.000,6,,drone 0
1,91.480,0.000,26.407,0.000,6,,drone 0
1,91.582,0.000,26.626,0.000,6,,drone 0
1,91.685,0.000,26.834,0.000,6,,drone 0
1,91.790,0.000,27.033,0.000,6,,drone 0
1,91.892,0.000,27.222,0.000,6,,drone 0
1,91.994,0.000,27.401,0.000,6,,drone 0
1,92.097,0.000,27.571,0.000,6,,drone 0
1,92.200,0.000,27.733,0.000,6,,drone 0
1,92.303,0.000,27.916,0.000,6,,drone 0
1,92.407,0.536,28.026,0.000,6,,drone 0
1,92.509,2.460,28.048,0.000,6,,drone 0
